,State,Category,Water User,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
27,CA,M&I,Southern California Gas,,,,,,166,,,,,,,,,,,70,59,106,63,0,49,0,66,59,84,78,61,86,78,61,51,130,46,46,43,39,39,39,38,38,38
28,CA,M&I,Pacific Gas & Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,46,23,55,71,55,3,36,4,1
29,CA,M&I,Havasu Water Company,,,,,,,,,,,,,,,,,0,0,0,0,0,69,66,69,58,0,71,3,473,0,59,60,60,60,60,36,25,25,36,33,33,33
30,CA,M&I,BLM Permittees,,,,,,107,107,146,150,162,177,205,158,206,206,,254,236,246,250,0,210,844,1014,0,593,564,493,515,557,536,521,480,450,437,254,362,334,321,317,232,301
31,CA,M&I,J Victor Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,9,12,14,9,9
32,CA,"Fish, Wildlife, Recreation",Lake Enterprises of CA (Piacho Development),,,,,,,,,,,,,,,,,0,104,0,0,107,113,104,0,115,110,96,6,72,35,31,3,3,9,14,9,10,12,,,,
33,CA,AG,Other Users Pumping from CO River,36721,32499,26807,25500,30333,29505,17680,16891,18299,24506,23747,20456,16486,14135,17451,15902,18609,18740,21642,23205,30014,21275,25367,24112,24850,23163,16990,21124,18591,19890,17163,19387,11068,11848,11362,10244,10093,9663,8739,4305,6372,7775
0,NV,M&I,Boulder Canyon Project,,,,,,,,,,,,,3,186,109,143,46,27,19,24,32,29,117,71,11,126,90,63,81,46,38,61,33,50,35,32,16,18,10,23,12,7
1,NV,M&I,Robert B. Griffith Water Project (SNWS),21402,45524,53412,54876,63412,68648,70785,76522,90676,100795,115487,114235,115420,141710,150755,161748,167400,195955,240070,259684,263788,264701,295120,316890,315631,343337,357186,353068,409473,434697,440339,450168,450741,433575,457287,482187,484304,445185,425382,422418,406391,407853
2,NV,"Fish, Wildlife, Recreation",Lake Mead Nat'l Rec Area (Lake Mead),797,898,824,808,824,818,892,890,952,1078,1174,1040,1111,1005,923,833,840,798,1055,833,719,906,800,824,885,985,874,552,896,851,706,869,850,648,787,882,609,567,531,456,431,427
3,NV,"Fish, Wildlife, Recreation",Lake Mead Nat'l Rec Area (Lake Mohave),5,5,3,,,,,,,,,,,,,,,,,,,,329,355,362,249,345,312,308,278,308,310,257,237,207,237,259,209,181,162,189,151
